time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1742766410643797500,0.834797607421875,0.6991488933563232,0.8720664978027344,1.6049396991729736,3.7899999618530273,35.73466110229492,281.78240966796875,593.402099609375,15.8170919,49.4062638
1742766411644248800,1.835248779296875,0.3410438895225525,0.7158910632133484,1.6049442291259766,3.7899999618530273,35.64686965942383,283.77569580078125,592.5728567081904,15.8166169,49.4063377
1742766412642556000,2.833555908203125,0.5470475554466248,0.8778382539749146,1.6049516201019287,3.7899999618530273,35.52516174316406,283.9373779296875,594.2854580459154,15.8161469,49.4064167
1742766413646532600,3.83753271484375,0.37941932678222656,0.7569015622138977,1.6116949319839478,3.7899999618530273,35.41926956176758,283.0936279296875,595.8285558578077,15.8156745,49.4064912
1742766414645254400,4.83625439453125,0.4448387920856476,0.7993122339248657,1.6117010116577148,3.7899999618530273,35.24246597290039,282.1283264160156,595.7626862132267,15.8152001,49.4065603
1742766415647359000,5.83835888671875,0.37364962697029114,0.7779459953308105,1.6116868257522583,3.7899999618530273,35.45124435424805,282.0419616699219,595.6346088897818,15.8147197,49.406622
1742766416644180200,6.83518017578125,0.19027818739414215,0.7083784341812134,1.611706256866455,3.7899999618530273,35.43562316894531,281.0580139160156,597.2466206114037,15.8142397,49.4066852
1742766417644310000,7.83531005859375,0.2801783084869385,1.1322543621063232,1.6117016077041626,3.7899999618530273,35.45194625854492,281.0132751464844,595.3449120933321,15.8137601,49.4067453
1742766418646433500,8.83743359375,0.29242512583732605,0.7783315777778625,1.6117075681686401,3.7899999618530273,35.88410186767578,281.0506591796875,597.2252837222126,15.8132757,49.4068063
1742766419647724500,9.838724609375,0.32203206419944763,0.8062257766723633,1.6116856336593628,3.7899999618530273,35.83051300048828,280.9999084472656,598.4671563399746,15.8127888,49.4068685
1742766420646054100,10.83705419921875,0.3095269799232483,0.7569015622138977,1.6117056608200073,3.7899999618530273,35.94792938232422,280.0014953613281,599.248285841971,15.8122971,49.406927
1742766421645013000,11.836012939453125,0.3511993885040283,0.8631338477134705,1.6117202043533325,3.7899999618530273,36.05861282348633,280.0003662109375,599.5492115742021,15.8118095,49.4069908
1742766422644522000,12.83552197265625,0.3443267345428467,0.7496665716171265,1.6117000579833984,3.7899999618530273,36.54549789428711,280.0010986328125,601.6471067127819,15.8113128,49.4070511
1742766423646228000,13.83722802734375,0.3522518277168274,0.8134494423866272,1.6049222946166992,3.7899999618530273,36.124507904052734,279.9988708496094,601.8190667264151,15.8108303,49.4071127
