time,seconds_elapsed,z,y,x
1742766207974608000,0.10260791015625,7.555337429046631,6.120840549468994,-0.9248259663581848
1742766207977005000,0.105005126953125,7.627720355987549,6.09332275390625,-0.9206385016441345
1742766207979402200,0.10740234375,7.737790107727051,6.094519138336182,-0.9397810697555542
1742766207981799400,0.10979931640625,7.824530124664307,6.057430744171143,-0.9308080077171326
1742766207984196900,0.11219677734375,7.925626754760742,6.020341873168945,-0.9314061999320984
1742766207986594000,0.114593994140625,8.002197265625,6.007181167602539,-0.9026923179626465
1742766207988991200,0.1169912109375,8.065009117126465,5.9647088050842285,-0.8841479420661926
1742766207991388400,0.119388427734375,8.170890808105469,5.913861274719238,-0.8703892230987549
1742766207993785600,0.12178564453125,8.23848819732666,5.890531063079834,-0.8327022790908813
1742766207996182800,0.124182861328125,8.286344528198242,5.85284423828125,-0.8093722462654114
1742766207998580000,0.126580078125,8.34018325805664,5.800800323486328,-0.7668996453285217
1742766208000977200,0.12897705078125,8.388039588928223,5.772684574127197,-0.7286145091056824
1742766208003374300,0.131374267578125,8.407780647277832,5.749354839324951,-0.719641387462616
1742766208005771500,0.133771484375,8.427521705627441,5.715855121612549,-0.6675975322723389
1742766208008169000,0.1361689453125,8.432905197143555,5.682953834533691,-0.6867401003837585
1742766208010566100,0.138566162109375,8.428717613220215,5.6446685791015625,-0.672383189201355
1742766208012963300,0.14096337890625,8.423932075500488,5.6207404136657715,-0.6586244106292725
1742766208015360500,0.143360595703125,8.434102058410645,5.597410202026367,-0.649053156375885
1742766208017757700,0.1457578125,8.434102058410645,5.5591254234313965,-0.6538388133049011
1742766208020155000,0.14815478515625,8.405387878417969,5.535196781158447,-0.6634100675582886
1742766208022552000,0.150552001953125,8.362317085266113,5.5345988273620605,-0.6921239495277405
1742766208024949200,0.15294921875,8.347960472106934,5.525027275085449,-0.7112665176391602
1742766208027346700,0.1553466796875,8.333602905273438,5.544169902801514,-0.7202396392822266
1742766208029743900,0.157743896484375,8.300103187561035,5.5345988273620605,-0.7250252366065979
1742766208032141000,0.16014111328125,8.285746574401855,5.529214859008789,-0.7202396392822266
1742766208034538200,0.162538330078125,8.276175498962402,5.529214859008789,-0.7202396392822266
1742766208036935400,0.164935302734375,8.26660442352295,5.534000396728516,-0.7058826684951782
1742766208039332600,0.16733251953125,8.237292289733887,5.552545070648193,-0.7058826684951782
1742766208041729800,0.169729736328125,8.217551231384277,5.595017433166504,-0.6867401003837585
1742766208044127000,0.172126953125,8.160123825073242,5.594419479370117,-0.6628118753433228
1742766208046524400,0.1745244140625,8.131409645080566,5.627320766448975,-0.6622136831283569
1742766208048921600,0.176921630859375,8.126026153564453,5.6554365158081055,-0.666999340057373
1742766208051318800,0.17931884765625,8.140382766723633,5.675177097320557,-0.6861419081687927
1742766208053716000,0.181716064453125,8.134998321533203,5.68893575668335,-0.6957131624221802
1742766208056113200,0.184113037109375,8.1493558883667,5.694319725036621,-0.7381857633590698
1742766208058510300,0.18651025390625,8.158926963806152,5.694319725036621,-0.7621139883995056
1742766208060907500,0.188907470703125,8.154141426086426,5.690132141113281,-0.8099704384803772
1742766208063304700,0.1913046875,8.14516830444336,5.66620397567749,-0.8099704384803772
