time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1742766303643490800,0.69449072265625,0.25359949469566345,0.7433034181594849,2.5,3.7899999618530273,36.0986442565918,284.00048828125,550.3408203125,15.8682459,49.3992265
1742766304643023600,1.694023681640625,0.2998254895210266,0.7998124957084656,1.6114583015441895,3.7899999618530273,35.87223434448242,283.9992370605469,547.0290253412312,15.8677691,49.3993092
1742766305642735400,2.6937353515625,0.33703938126564026,0.7851751446723938,1.6114583015441895,3.7899999618530273,35.613739013671875,284.9970703125,547.6732821196237,15.8672947,49.3993925
1742766306642551800,3.6935517578125,0.3280990719795227,0.7920858263969421,1.6114583015441895,3.7899999618530273,35.4205207824707,284.001220703125,546.9434294658964,15.8668214,49.3994707
1742766307643535400,4.694535400390625,0.25731945037841797,0.7291775941848755,1.6046874523162842,3.7899999618530273,35.25139236450195,283.99951171875,551.1110245151885,15.866349,49.3995514
1742766308646787600,5.69778759765625,0.18254511058330536,0.7009279727935791,1.6046874523162842,3.7899999618530273,35.25108337402344,284.9987487792969,550.126953125,15.8658742,49.3996364
1742766309644502000,6.695501953125,0.24200187623500824,0.7851751446723938,1.6082810163497925,3.7899999618530273,35.39719772338867,284.0020751953125,549.96337890625,15.8654036,49.3997175
1742766310641138200,7.69213818359375,0.1910829395055771,0.6868041753768921,1.6128796339035034,3.7899999618530273,34.9542350769043,284.99749755859375,548.7100830078125,15.8649387,49.3998035
1742766311642880800,8.693880859375,0.22996649146080017,0.7569015622138977,1.6002663373947144,3.7899999618530273,35.09867858886719,285.0005187988281,547.873046875,15.8644799,49.399888
1742766312643453400,9.694453369140625,0.23633521795272827,0.7218033075332642,1.6209807395935059,3.7899999618530273,34.88172912597656,284.99932861328125,545.7466559083927,15.8640149,49.3999732
1742766313645901300,10.6969013671875,0.22157718241214752,0.7433034181594849,1.6079965829849243,3.7899999618530273,35.068389892578125,285.0006103515625,544.5923615400412,15.8635511,49.4000554
1742766314644080600,11.69508056640625,0.1855650693178177,0.7009279727935791,1.6095165014266968,3.7899999618530273,35.1890869140625,285.0003662109375,543.7356435935048,15.8630817,49.4001343
1742766315642231800,12.693231689453125,0.2471977323293686,0.7849203944206238,1.6209090948104858,3.7899999618530273,34.892826080322266,284.9989013671875,543.7989549285938,15.862614,49.4002147
1742766316642429200,13.69342919921875,0.29184818267822266,0.7990619540214539,1.610015869140625,3.7899999618530273,35.38508224487305,285.0018615722656,545.280029296875,15.8621545,49.400293
1742766317645380400,14.69638037109375,0.3155619502067566,0.7851751446723938,1.6140663623809814,3.7899999618530273,34.884742736816406,284.9981994628906,546.093017578125,15.8616846,49.4003729
1742766318641917200,15.692917236328125,0.35128793120384216,0.8489994406700134,1.6114583015441895,3.7899999618530273,35.09768295288086,285.0008544921875,543.9982772825307,15.8612114,49.4004579
1742766319645170700,16.696170654296875,0.33959630131721497,0.7851751446723938,1.6182291507720947,3.7899999618530273,35.13962173461914,285.0001525878906,544.583251953125,15.8607381,49.400545
1742766320642207000,17.69320703125,0.3747665584087372,0.8348652720451355,1.6584960222244263,3.7899999618530273,35.40702438354492,285.0010986328125,543.8150832270146,15.8602785,49.4006273
1742766321647689200,18.698689208984376,0.3805272877216339,0.827586829662323,1.6405788660049438,3.7899999618530273,35.182395935058594,284.9991149902344,544.0135332376916,15.8598012,49.4007166
1742766322642791700,19.693791748046873,0.32475417852401733,0.8348652720451355,1.6114583015441895,3.7899999618530273,35.29878616333008,285.0004577636719,543.4112460936316,15.859328,49.4007984
