time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1742766303025647900,0.07664794921875,0.8963119387626648,0.04122417792677879,-0.018920110538601875,0.4410981237888336,0.07045803964138031,-0.05723944678902626,-2.2249181270599365
1742766303030442500,0.0814423828125,0.8963086009025574,0.04117656871676445,-0.01900009624660015,0.44110602140426636,0.07055973261594772,-0.057082705199718475,-2.2249035835266113
1742766303035223600,0.0862236328125,0.8963214159011841,0.04101860895752907,-0.0189528688788414,0.4410966634750366,0.07033354789018631,-0.05684222653508186,-2.2249467372894287
1742766303040031500,0.091031494140625,0.8963037133216858,0.041139036417007446,-0.01886156015098095,0.4411253035068512,0.07027874141931534,-0.05713660642504692,-2.2248709201812744
1742766303044825900,0.095825927734375,0.8962924480438232,0.04134007915854454,-0.018915293738245964,0.44112709164619446,0.07055454701185226,-0.0574490949511528,-2.2248387336730957
1742766303049607200,0.100607177734375,0.8962918519973755,0.04122212901711464,-0.01893659308552742,0.44113844633102417,0.07048837095499039,-0.05721801146864891,-2.224827766418457
1742766303054414800,0.105414794921875,0.8962870240211487,0.041126348078250885,-0.018876701593399048,0.44115978479385376,0.07029680907726288,-0.05709776654839516,-2.224794864654541
1742766303059209500,0.11020947265625,0.8962814807891846,0.041200220584869385,-0.01888633891940117,0.4411635398864746,0.07038020342588425,-0.05722128599882126,-2.22477650642395
1742766303064003800,0.11500390625,0.8962691426277161,0.041268762201070786,-0.018923407420516014,0.44118085503578186,0.07050898671150208,-0.057309918105602264,-2.2247278690338135
1742766303068798500,0.119798583984375,0.8962736129760742,0.04122752696275711,-0.018830742686986923,0.441179484128952,0.07030574977397919,-0.05731819570064545,-2.2247397899627686
1742766303073593000,0.124593017578125,0.896270751953125,0.04123257100582123,-0.018780041486024857,0.4411870241165161,0.07021968811750412,-0.05737153813242912,-2.224724292755127
1742766303078387500,0.129387451171875,0.8962651491165161,0.04124864190816879,-0.01886097900569439,0.44119352102279663,0.07037975639104843,-0.057328157126903534,-2.2247045040130615
